Genotype	Pollination	Season	Period	Repetition	Esp_Total	Esp_Epi_Par_Col	Esp_Par	Esp_Par_Col_End	Area_celulas_1	Area_celulas_2	Area_celulas_3
Italiano	Natural	Summer	35	1	6932.8133	92.8427	6608.3517	265.4251	22581.7753	754974.7400	9273.6044
Italiano	Natural	Summer	35	2	8006.4290	134.7738	7691.7393	173.2970	32988.3150	473059.5100	17275.0897
Italiano	Natural	Summer	35	3	6612.2830	86.5047	6360.2080	122.0874	34264.6240	540581.5700	17661.2144
Italiano	Natural	Summer	35	4	5042.0353	92.2716	4770.6587	178.7763	20123.4410	533260.7000	17201.4557
Italiano	Natural	Summer	42	1	7656.5303	149.9414	7305.0793	219.6065	25761.4770	753080.9000	15052.6211
Italiano	Natural	Summer	42	2	8515.0793	132.6405	8221.6593	139.1049	27653.1930	607653.7100	13012.7391
Italiano	Natural	Summer	42	3	7542.2927	115.6986	7281.6370	116.1593	22107.6490	671590.1300	19068.6282
Italiano	Natural	Summer	42	4	6094.6620	179.9184	5770.3470	168.4177	19571.4902	319939.0600	2834.5825
Italiano	Natural	Summer	49	1	6009.3957	178.7763	5638.4450	196.3389	23547.0900	811969.9600	14311.1984
Italiano	Natural	Summer	49	2	8447.3450	81.2150	8319.7743	98.9932	33040.9950	602473.5800	10599.3023
Italiano	Natural	Summer	49	3	4546.0897	214.4182	4148.7977	214.7433	22362.3710	467451.6700	4085.7499
Italiano	Natural	Summer	49	4	8705.4043	80.7377	8491.6803	104.2829	30947.5350	715299.8700	3051.5913
Italiano	Natural	Summer	56	2	9296.6513	173.0093	8956.5310	167.8234	24490.8510	540349.8500	8535.4754
Italiano	Natural	Summer	56	3	6864.1010	69.2037	6632.9820	108.9567	26738.4640	757384.2600	6752.7117
Italiano	Natural	Summer	56	4	6304.4687	132.9995	5982.0383	190.3103	20246.1640	906876.6400	11164.1245
Salada	Mechanics	Winter	14	1	887.7968	43.4159	822.2476	24.8150	10655.8743	192824.9480	727.6526
Salada	Mechanics	Winter	14	2	1080.1119	80.8423	943.7443	53.1998	11206.3285	113265.0590	692.6319
Salada	Mechanics	Winter	14	3	1164.0370	74.4293	1016.1789	64.8099	11067.7415	276551.6820	812.3608
